size,text
733,科學
609,我們
479,研究
470,一個
453,可以
411,可能
354,就是
334,沒有
324,這個
308,他們
297,這些
294,自己
268,如果
267,因為
249,猩猩
240,學家
240,發現
236,什麼
233,黑猩猩
225,實驗
222,知識
213,創辦
212,創辦人
208,天燈
199,的人
194,人類
182,彗星
177,問題
177,因此
173,不是
173,產生
170,許多
169,大學
167,人的
165,時間
164,所以
162,世界
162,但是
159,物理
158,不同
158,台灣
157,中的
156,提供
153,樣的
152,其他
152,天文
151,們的
151,索瓦
150,依附
149,是一
148,這樣
146,影響
145,生物
144,開始
141,上的
141,物質
141,自然
138,其實
137,丹尼索瓦
137,例如
137,比較
136,知道
136,關係
135,還是
134,的是
133,太空
132,細胞
132,諾貝爾
131,生活
131,這種
129,以及
129,對於
129,第一
129,雖然
128,大的
128,太陽
128,泛科學
128,重要
127,甚至
126,不過
126,病毒
125,基因
125,無法
125,現在
124,使用
124,來的
124,出現
124,造成
124,都是
123,分子
123,化學
123,發生
122,一樣
121,已經
121,系統
120,新聞
119,只是
119,故事
119,運動
118,結果
118,資訊
116,的研
116,需要
115,能夠
115,進行
114,不會
113,美國
113,認為
112,如何
112,成為
112,有一
111,之後
111,宇宙
111,狂犬
111,真的
111,食品
110,作者
110,或是
110,方式
110,狂犬病
109,應該
109,時候
109,的研究
109,莉澤
108,DNA
108,PanSci
108,的時
107,醫師
107,領域
106,到的
106,教授
106,超過
105,post
105,形成
105,是在
104,安全
104,實驗室
103,first
103,一種
103,丹尼索瓦人
103,發展
103,的大
103,的生
103,要的
102,各種
102,理論
102,自己的
101,也是
100,appeared
100,動物
100,理學
100,起來
99,只有
99,必須
99,過程
98,地球
98,大家
98,海嘯
98,的一
98,部分
97,還有
96,並不
96,就會
96,為了
96,環境
95,年的
95,性的
94,方法
94,生的
94,相當
92,另一
92,目前
92,空氣
92,蛋白
91,個人
91,現象
90,你的
90,經濟
89,一些
89,作用
89,社會
88,主要
88,了一
88,同時
88,團隊
88,女性
88,存在
88,所有
88,溫度
87,怎麼
87,那麼
86,公尺
86,瑪麗
86,看到
86,非常
85,也不
85,其中
85,科學家
85,這樣的
84,一般
84,本文
83,來說
83,這麼
83,體的
82,是否
82,這是
81,不能
81,在這
81,改變
81,飛行
80,一定
80,星的
80,的方
79,壓力
79,容易
79,當然
78,學的
78,恆星
78,族群
78,是不
78,的科
78,行為
78,身體
77,會有
77,相關
77,胎盤
77,資料
77,這一
77,除了
76,兩個
76,有人
76,空想
76,行星
76,透過
76,面的
75,也會
75,北市
75,平溪
75,空想科學
75,而且
74,之間
74,台北
74,好奇
74,細菌
74,組織
74,能量
73,利用
73,年前
73,成的
73,根據
72,不可
72,也有
72,則是
72,受到
72,是有
72,然而
72,的地
72,的基
72,科技
71,也就
71,很多
71,我們的
71,為什麼
71,的天
71,空想科學讀本
71,類的
70,在一
70,地點
70,大型
70,的機
70,皮膚
70,致癌
70,英國
70,覺得
70,食物
69,下來
69,來自
69,如此
69,工作
69,的物
69,間的
68,了解
68,他的
68,的科學
67,http
67,事件
67,只要
67,國立
67,演講
67,物理學
67,的話
67,重要的
67,電子
67,飛機
66,國際
66,媒體
66,技術
66,治療
66,的問
66,的時候
65,出來
65,反應
65,基本
65,文學
65,機器
65,的原
65,相對
65,觀察
64,一次
64,有關
64,疾病
64,的分
64,的問題
64,過去
63,MedPartner
63,主題
63,之外
63,事情
63,同的
63,安德
63,希望
63,平台
63,年代
63,的電
63,超導
62,副教授
62,台大
62,尼安德塔
61,也可
61,博物館
61,學博
61,完全
61,朋友
61,的事
61,的結
61,簡單
61,通常
61,都會
60,地方
60,大小
60,宗教
60,導致
60,日報
60,星系
60,是一個
60,是這
60,有效
60,然後
60,用的
60,由於
60,編輯
60,進入
59,一起
59,內容
59,公里
59,大氣
59,大洋洲
59,學新
59,幾乎
59,或許
59,有的
59,法律
59,然科學
59,目標
59,稱為
59,線上
59,論文
59,醫學
59,雌黑猩猩
58,具有
58,好奇心
58,子宮
58,接受
58,最後
58,演化
58,焦慮
58,生命
58,的情
58,的重
58,科學博
58,第二
58,結構
58,能力
58,自然科學
58,表面
58,見的
58,計畫
58,速度
58,高的
57,世紀
57,也就是
57,像是
57,八十
57,到底
57,原因
57,實踐
57,感染
57,新的
57,方面
57,有些
57,相信
57,立自
57,經理
57,網址
56,M.
56,一點
56,分析
56,原子
56,參考
56,台北市
56,學新聞
56,微生物
56,教學
56,有可
56,毒藥
56,測量
56,總經理
56,育館
56,萬年
56,諾貝爾獎
56,遺傳
55,任何
55,國家
55,國立自然科學博物
55,在的
55,天文台
55,子的
55,市中
55,想像
55,成功
55,才能
55,是因
55,東西
55,柳田理科雄
55,概念
55,物的
55,物體
55,科學新聞
55,立自然科學博物館
55,系副教授
55,那些
55,體育
54,一下
54,之一
54,人兼
54,他們的
54,十位
54,可是
54,增加
54,好的
54,山區
54,性交
54,手術
54,持續
54,文化
54,文章
54,有可能
54,每個
54,消失
54,白話
54,的不
54,的影
54,討論
54,賴以
54,超過八
54,軌道
54,題演講
54,館長
53,B1
53,B2
53,LIS
53,gD3dUH
